Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
102450;DSP Merrill Lynch Savings Plus Fund - Aggressive-Monthly Dividend; 10.7197 ; 10.6125 ; 10.7197 ;20-Sep-2007
102451;DSP Merrill Lynch Savings Plus Fund - Aggressive-Quarterly Dividend; 11.2590 ; 11.1464 ; 11.2590 ;20-Sep-2007
101742;DSP Merrill Lynch Savings Plus Fund - Moderate-Growth; 15.9971 ; 15.8371 ; 15.9971 ;20-Sep-2007
101743;DSP Merrill Lynch Savings Plus Fund - Moderate-Monthly Dividend; 11.0666 ; 10.9559 ; 11.0666 ;20-Sep-2007
101744;DSP Merrill Lynch Savings Plus Fund - Moderate-Quarterly Dividend; 11.4801 ; 11.3653 ; 11.4801 ;20-Sep-2007
102445;DSP Merrill Lynch Savings Plus Fund-Conservative-Growth; 12.5239 ; 12.4613 ; 12.5239 ;20-Sep-2007
102446;DSP Merrill Lynch Savings Plus Fund-Conservative-Monthly Dividend; 10.4016 ; 10.3496 ; 10.4016 ;20-Sep-2007
102447;DSP Merrill Lynch Savings Plus Fund-Conservative-Quarterly Dividend; 10.5968 ; 10.5438 ; 10.5968 ;20-Sep-2007
101305;DSP Merrill Lynch Short Term Fund-Dividend; 10.7045 ; 10.7045 ; 10.7045 ;20-Sep-2007
101304;DSP Merrill Lynch Short Term Fund-Growth; 13.3753 ; 13.3753 ; 13.3753 ;20-Sep-2007
101306;DSP Merrill Lynch Short Term Fund-Monthly Dividend; 10.5184 ; 10.5184 ; 10.5184 ;20-Sep-2007
101303;DSP Merrill Lynch Short Term Fund-Weekly Dividend; 10.1998 ; 10.1998 ; 10.1998 ;20-Sep-2007
105668;DSP Merrill Lynch Strategic Bond Fund - Institutional Plan - Dividend; 0.0000 ; 0.0000 ; 0.0000 ;9-Aug-2007
105669;DSP Merrill Lynch Strategic Bond Fund - Institutional Plan - Growth; 1031.8692 ; 1030.8373 ; 1031.8692 ;20-Sep-2007
105667;DSP Merrill Lynch Strategic Bond Fund - Institutional Plan - Monthly Dividend; 1005.6490 ; 1004.6434 ; 1005.6490 ;20-Sep-2007
105878;DSP Merrill Lynch Strategic Bond Fund - Institutional Plan - Weekly Dividend; 1002.6683 ; 1001.6656 ; 1002.6683 ;20-Sep-2007
105665;DSP Merrill Lynch Strategic Bond Fund - Regular Plan - Dividend; 1020.2526 ; 1015.1513 ; 1020.2526 ;20-Sep-2007
105666;DSP Merrill Lynch Strategic Bond Fund - Regular Plan - Growth; 1030.4160 ; 1025.2639 ; 1030.4160 ;20-Sep-2007
105664;DSP Merrill Lynch Strategic Bond Fund - Regular Plan - Monthly Dividend; 1005.3883 ; 1000.3614 ; 1005.3883 ;20-Sep-2007
105877;DSP Merrill Lynch Strategic Bond Fund - Regular Plan - Weekly Dividend; 1002.6024 ; 997.5894 ; 1002.6024 ;20-Sep-2007

Escorts Mutual Fund
100176;Escorts Income Bond-Dividend;18.9018;18.9018;18.9018;20-Sep-2007
100177;Escorts Income Bond-Growth;22.3926;22.3926;22.3926;20-Sep-2007
100173;Escorts Income Plan-Bonus;12.4823;12.4823;12.4823;20-Sep-2007
100171;Escorts Income Plan-Dividend;10.3465;10.3465;10.3465;20-Sep-2007
100172;Escorts Income Plan-Growth;23.7000;23.7000;23.7000;20-Sep-2007

Fidelity Mutual Fund
104220;Fidelity Short Term Income Fund - Institutional Plan Dividend Option;10.0000;10.0000;10.0000;20-Sep-2007
104219;Fidelity Short Term Income Fund - Institutional Plan Growth Option;10.6731;10.6731;10.6731;20-Sep-2007
104218;Fidelity Short Term Income Fund - Retail Plan Dividend Option;10.0809;10.0809;10.0809;20-Sep-2007
104217;Fidelity Short Term Income Fund - Retail Plan Growth Option;10.6506;10.6506;10.6506;20-Sep-2007

Franklin Templeton Mutual Fund
101620;Franklin India International Fund;9.5301;9.5301;9.5301;20-Sep-2007
100948;FT India Monthly Income Plan-Growth;22.5145;22.5145;22.5145;20-Sep-2007
100951;FT India Monthly Income Plan-Monthly Bonus;14.8585;14.8585;14.8585;20-Sep-2007
100949;FT India Monthly Income Plan-Monthly Dividend;12.0812;12.0812;12.0812;20-Sep-2007
100950;FT India Monthly Income Plan-Quarterly Dividend;12.2901;12.2901;12.2901;20-Sep-2007
100527;Templeton India Income Builder Account-Dividend;10.6654;10.6654;10.6654;20-Sep-2007
100528;Templeton India Income Builder Account-Growth;25.7485;25.7485;25.7485;20-Sep-2007
100531;Templeton India Income Builder Account-Half Yearly;13.7316;13.7316;13.7316;20-Sep-2007
100529;Templeton India Income Builder Account-Monthly;12.9922;12.9922;12.9922;20-Sep-2007
